,molecule_chembl_id,IC50,units,smiles,pIC50
3263,CHEMBL3678956,117.0,nM,CC(C)n1c(Nc2ccc(C(=O)Nc3cccc(F)c3)cc2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,6.931814138253838
3264,CHEMBL165228,117.0,nM,Cc1nc(Nc2cccc(Br)c2)c2cc(NCCN3CCOCC3)ncc2n1,6.931814138253838
3265,CHEMBL4870265,117.5,nM,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(CN3CCC(C(=O)NO)CC3)cc2)ncc1Cl,6.9299621333922445
3266,CHEMBL5085807,117.6,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(C3CCCCC3)nc3cnc(Nc4cccc(OCCOC)c4)nc32)c1,6.92959267825988
3267,CHEMBL4575374,118.6,nM,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(C)c(C)c1)C1=CC(=O)c2c(O)ccc(O)c2C1=O,6.925915310971757
3268,CHEMBL3903063,118.7,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(=O)Cn4ccnc4)cc3)ncc2[N+](=O)[O-])c1,6.925549281045409
3269,CHEMBL5182465,119.1,nM,COc1cc2ncnc3c2cc1OCCOCCOc1cc(F)c(Cl)cc1N3,6.924088238517223
3270,CHEMBL4519860,119.7,nM,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(Br)cc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O,6.921905849593589
3271,CHEMBL4065503,120.0,nM,Cc1nnc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)s1,6.920818753952375
3272,CHEMBL394495,120.0,nM,C[C@H](c1ccccc1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,6.920818753952375
3273,CHEMBL4072986,120.0,nM,S=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)Nc1ncc(Cl)s1,6.920818753952375
3274,CHEMBL5173862,120.0,nM,N#CC1=C(c2ccccc2)Nc2c(c(-c3cccs3)nn2-c2ccccc2)C12C(=O)Nc1ccc(Cl)cc12,6.920818753952375
3275,CHEMBL604042,120.0,nM,Oc1ccc(CN(Cc2cccc(Br)c2O)C(=S)Nc2ccccc2)cc1,6.920818753952375
3276,CHEMBL508760,120.0,nM,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cscn5)c(Cl)c4)c3s2)C1)N1CCOCC1,6.920818753952375
3277,CHEMBL5203711,120.0,nM,O=C(/C=C\c1ccc(OC(F)(F)F)cc1)c1ccc(Br)c2cc(-c3ccc(F)cc3)oc12,6.920818753952375
3278,CHEMBL92398,120.0,nM,COc1ccc2c(Nc3ccccc3)ncnc2c1,6.920818753952375
3279,CHEMBL55150,120.0,nM,CN(C)c1ccc2ncncc2c1,6.920818753952375
3280,CHEMBL3235202,120.0,nM,COc1ccc(Oc2nc3ccc(C)cc3cc2/C=N/NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1,6.920818753952375
3281,CHEMBL2325099,120.0,nM,COc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.920818753952375
3282,CHEMBL1812572,120.0,nM,O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.920818753952375
3283,CHEMBL503253,120.0,nM,CC(c1cccc(F)c1)n1ncc2cc(Nc3ncnc4cc(C#C[C@@H]5C[C@@H](OC(=O)N6CCOCC6)CN5)sc34)ccc21,6.920818753952375
3284,CHEMBL3234744,120.0,nM,CNc1ncc(C(=O)Nc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1,6.920818753952375
3285,CHEMBL2064403,120.0,nM,O=c1oc2cc3ncnc(Nc4ccc5[nH]ncc5c4)c3cc2n1CCCN1CCOCC1,6.920818753952375
3286,CHEMBL246276,120.0,nM,OCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,6.920818753952375
